x,r,u_x,u_r,Re
-4.800000e-02,6.436700e-03,0.000000e+00,-0.000000e+00,3500
-4.800000e-02,6.415000e-03,0.000000e+00,-0.000000e+00,3500
-4.800000e-02,6.390500e-03,0.000000e+00,-0.000000e+00,3500
-4.800000e-02,6.249200e-03,0.000000e+00,-0.000000e+00,3500
-4.800000e-02,6.230500e-03,0.000000e+00,-0.000000e+00,3500
-4.800000e-02,6.172100e-03,0.000000e+00,-0.000000e+00,3500
-4.800000e-02,6.061700e-03,1.221280e-02,2.228150e-03,3500
-4.800000e-02,6.046100e-03,0.000000e+00,-0.000000e+00,3500
-4.800000e-02,6.037900e-03,8.336250e-03,3.748610e-03,3500
-4.800000e-02,5.980000e-03,0.000000e+00,-0.000000e+00,3500
-4.800000e-02,5.953700e-03,1.530390e-02,1.860740e-03,3500
-4.800000e-02,5.936800e-03,1.937590e-02,5.967460e-03,3500
-4.800000e-02,5.874200e-03,3.677040e-02,2.453210e-04,3500
-4.800000e-02,5.870000e-03,3.270830e-02,-1.488080e-03,3500
-4.800000e-02,5.861700e-03,3.348540e-02,-0.000000e+00,3500
-4.800000e-02,5.835600e-03,3.787820e-02,5.149240e-03,3500
-4.800000e-02,5.760000e-03,4.382470e-02,-6.630070e-04,3500
-4.800000e-02,5.735200e-03,6.206170e-02,-1.115280e-03,3500
-4.800000e-02,5.734500e-03,5.832300e-02,-1.056550e-03,3500
-4.800000e-02,5.686700e-03,7.040870e-02,2.318170e-04,3500
-4.800000e-02,5.677200e-03,6.571780e-02,-0.000000e+00,3500
-4.800000e-02,5.650000e-03,6.314770e-02,-3.904370e-04,3500
-4.800000e-02,5.633300e-03,7.740700e-02,-2.049230e-03,3500
-4.800000e-02,5.540000e-03,8.547630e-02,-2.136360e-04,3500
-4.800000e-02,5.532100e-03,9.623430e-02,1.990760e-03,3500
-4.800000e-02,5.516800e-03,1.037400e-01,-1.803390e-04,3500
-4.800000e-02,5.499200e-03,1.044860e-01,2.715790e-04,3500
-4.800000e-02,5.492800e-03,1.035060e-01,-0.000000e+00,3500
-4.800000e-02,5.431000e-03,1.158690e-01,6.675400e-03,3500
-4.800000e-02,5.430000e-03,1.077020e-01,-9.576760e-05,3500
-4.800000e-02,5.329800e-03,1.331660e-01,8.346960e-03,3500
-4.800000e-02,5.320000e-03,1.292640e-01,-1.473350e-05,3500
-4.800000e-02,5.311700e-03,1.381100e-01,-2.550740e-05,3500
-4.800000e-02,5.308300e-03,1.375830e-01,-0.000000e+00,3500
-4.800000e-02,5.298400e-03,1.461850e-01,8.119430e-04,3500
-4.800000e-02,5.228700e-03,1.582730e-01,-2.408780e-03,3500
-4.800000e-02,5.210000e-03,1.503630e-01,-7.366740e-06,3500
-4.800000e-02,5.127500e-03,1.747640e-01,-2.961700e-03,3500
-4.800000e-02,5.124200e-03,1.728850e-01,-4.313750e-04,3500
-4.800000e-02,5.123900e-03,1.718990e-01,-0.000000e+00,3500
